Sequence,Taxon_rank,Order,Family,Family_English_name,Scientific_name,English_name_AviList,English (United States),IUCN_Red_List_Category
1,order,Struthioniformes,,,Struthioniformes,,,
2,family,Struthioniformes,Struthionidae,Ostriches,Struthionidae,,,
3,genus,Struthioniformes,Struthionidae,Ostriches,Struthio,,,
4,species,Struthioniformes,Struthionidae,Ostriches,Struthio molybdophanes,Somali Ostrich,Somali Ostrich,VU
5,species,Struthioniformes,Struthionidae,Ostriches,Struthio camelus,Common Ostrich,Common Ostrich,LC
6,subspecies,Struthioniformes,Struthionidae,Ostriches,Struthio camelus syriacus,,,
7,subspecies,Struthioniformes,Struthionidae,Ostriches,Struthio camelus camelus,,,
8,subspecies,Struthioniformes,Struthionidae,Ostriches,Struthio camelus massaicus,,,
9,subspecies,Struthioniformes,Struthionidae,Ostriches,Struthio camelus australis,,,
10,order,Casuariiformes,,,Casuariiformes,,,
11,family,Casuariiformes,Casuariidae,Emu and Cassowaries,Casuariidae,,,
12,genus,Casuariiformes,Casuariidae,Emu and Cassowaries,Dromaius,,,
13,species,Casuariiformes,Casuariidae,Emu and Cassowaries,Dromaius novaehollandiae,Emu,Emu,NE
14,subspecies,Casuariiformes,Casuariidae,Emu and Cassowaries,Dromaius novaehollandiae novaehollandiae,,,
15,subspecies,Casuariiformes,Casuariidae,Emu and Cassowaries,Dromaius novaehollandiae diemenensis,,,
16,subspecies,Casuariiformes,Casuariidae,Emu and Cassowaries,Dromaius novaehollandiae minor,,,
17,subspecies,Casuariiformes,Casuariidae,Emu and Cassowaries,Dromaius novaehollandiae baudinianus,,,
18,genus,Casuariiformes,Casuariidae,Emu and Cassowaries,Casuarius,,,
19,species,Casuariiformes,Casuariidae,Emu and Cassowaries,Casuarius casuarius,Southern Cassowary,Southern Cassowary,LC
20,species,Casuariiformes,Casuariidae,Emu and Cassowaries,Casuarius bennetti,Dwarf Cassowary,Dwarf Cassowary,LC
21,subspecies,Casuariiformes,Casuariidae,Emu and Cassowaries,Casuarius bennetti westermanni,,,
22,subspecies,Casuariiformes,Casuariidae,Emu and Cassowaries,Casuarius bennetti bennetti,,,
23,species,Casuariiformes,Casuariidae,Emu and Cassowaries,Casuarius unappendiculatus,Northern Cassowary,Northern Cassowary,LC
24,order,Apterygiformes,,,Apterygiformes,,,
25,family,Apterygiformes,Apterygidae,Kiwis,Apterygidae,,,
26,genus,Apterygiformes,Apterygidae,Kiwis,Apteryx,,,
27,species,Apterygiformes,Apterygidae,Kiwis,Apteryx owenii,Little Spotted Kiwi,Little Spotted Kiwi,NT
28,species,Apterygiformes,Apterygidae,Kiwis,Apteryx maxima,Great Spotted Kiwi,Great Spotted Kiwi,VU
29,species,Apterygiformes,Apterygidae,Kiwis,Apteryx australis,Southern Brown Kiwi,Southern Brown Kiwi,VU
30,subspecies,Apterygiformes,Apterygidae,Kiwis,Apteryx australis australis,,,
31,subspecies,Apterygiformes,Apterygidae,Kiwis,Apteryx australis lawryi,,,
32,species,Apterygiformes,Apterygidae,Kiwis,Apteryx rowi,Okarito Kiwi,Okarito Brown Kiwi,VU
33,species,Apterygiformes,Apterygidae,Kiwis,Apteryx mantelli,North Island Brown Kiwi,North Island Brown Kiwi,VU
34,order,Rheiformes,,,Rheiformes,,,
35,family,Rheiformes,Rheidae,Rheas,Rheidae,,,
36,genus,Rheiformes,Rheidae,Rheas,Rhea,,,
37,species,Rheiformes,Rheidae,Rheas,Rhea pennata,Lesser Rhea,Lesser Rhea,LC
38,subspecies,Rheiformes,Rheidae,Rheas,Rhea pennata garleppi,,,
39,subspecies,Rheiformes,Rheidae,Rheas,Rhea pennata tarapacensis,,,
40,subspecies,Rheiformes,Rheidae,Rheas,Rhea pennata pennata,,,
41,species,Rheiformes,Rheidae,Rheas,Rhea americana,Greater Rhea,Greater Rhea,NT
42,subspecies,Rheiformes,Rheidae,Rheas,Rhea americana americana,,,
43,subspecies,Rheiformes,Rheidae,Rheas,Rhea americana intermedia,,,
44,subspecies,Rheiformes,Rheidae,Rheas,Rhea americana nobilis,,,
45,subspecies,Rheiformes,Rheidae,Rheas,Rhea americana araneipes,,,
46,subspecies,Rheiformes,Rheidae,Rheas,Rhea americana albescens,,,
47,order,Tinamiformes,,,Tinamiformes,,,
48,family,Tinamiformes,Tinamidae,Tinamous,Tinamidae,,,
49,genus,Tinamiformes,Tinamidae,Tinamous,Tinamotis,,,
50,species,Tinamiformes,Tinamidae,Tinamous,Tinamotis pentlandii,Puna Tinamou,Puna Tinamou,LC
51,species,Tinamiformes,Tinamidae,Tinamous,Tinamotis ingoufi,Patagonian Tinamou,Patagonian Tinamou,LC
52,genus,Tinamiformes,Tinamidae,Tinamous,Eudromia,,,
53,species,Tinamiformes,Tinamidae,Tinamous,Eudromia formosa,Quebracho Crested Tinamou,Quebracho Crested-Tinamou,LC
54,subspecies,Tinamiformes,Tinamidae,Tinamous,Eudromia formosa formosa,,,
55,subspecies,Tinamiformes,Tinamidae,Tinamous,Eudromia formosa mira,,,
56,species,Tinamiformes,Tinamidae,Tinamous,Eudromia elegans,Elegant Crested Tinamou,Elegant Crested-Tinamou,LC
57,subspecies,Tinamiformes,Tinamidae,Tinamous,Eudromia elegans intermedia,,,
58,subspecies,Tinamiformes,Tinamidae,Tinamous,Eudromia elegans magnistriata,,,
59,subspecies,Tinamiformes,Tinamidae,Tinamous,Eudromia elegans riojana,,,
60,subspecies,Tinamiformes,Tinamidae,Tinamous,Eudromia elegans albida,,,
61,subspecies,Tinamiformes,Tinamidae,Tinamous,Eudromia elegans wetmorei,,,
62,subspecies,Tinamiformes,Tinamidae,Tinamous,Eudromia elegans numida,,,
63,subspecies,Tinamiformes,Tinamidae,Tinamous,Eudromia elegans elegans,,,
64,subspecies,Tinamiformes,Tinamidae,Tinamous,Eudromia elegans multiguttata,,,
65,subspecies,Tinamiformes,Tinamidae,Tinamous,Eudromia elegans devia,,,
66,subspecies,Tinamiformes,Tinamidae,Tinamous,Eudromia elegans patagonica,,,
67,genus,Tinamiformes,Tinamidae,Tinamous,Taoniscus,,,
68,species,Tinamiformes,Tinamidae,Tinamous,Taoniscus nanus,Dwarf Tinamou,Dwarf Tinamou,EN
69,genus,Tinamiformes,Tinamidae,Tinamous,Nothura,,,
70,species,Tinamiformes,Tinamidae,Tinamous,Nothura boraquira,White-bellied Nothura,White-bellied Nothura,LC
71,species,Tinamiformes,Tinamidae,Tinamous,Nothura minor,Lesser Nothura,Lesser Nothura,VU
72,species,Tinamiformes,Tinamidae,Tinamous,Nothura darwinii,Darwin's Nothura,Darwin's Nothura,LC
73,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothura darwinii peruviana,,,
74,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothura darwinii agassizii,,,
75,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothura darwinii boliviana,,,
76,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothura darwinii salvadorii,,,
77,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothura darwinii darwinii,,,
78,species,Tinamiformes,Tinamidae,Tinamous,Nothura maculosa,Spotted Nothura,Spotted Nothura,LC
79,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothura maculosa cearensis,,,
80,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothura maculosa major,,,
81,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothura maculosa paludivaga,,,
82,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothura maculosa maculosa,,,
83,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothura maculosa pallida,,,
84,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothura maculosa annectens,,,
85,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothura maculosa submontana,,,
86,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothura maculosa nigroguttata,,,
87,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothura maculosa chacoensis,,,
88,genus,Tinamiformes,Tinamidae,Tinamous,Rhynchotus,,,
89,species,Tinamiformes,Tinamidae,Tinamous,Rhynchotus maculicollis,Huayco Tinamou,Huayco Tinamou,LC
90,species,Tinamiformes,Tinamidae,Tinamous,Rhynchotus rufescens,Red-winged Tinamou,Red-winged Tinamou,LC
91,subspecies,Tinamiformes,Tinamidae,Tinamous,Rhynchotus rufescens catingae,,,
92,subspecies,Tinamiformes,Tinamidae,Tinamous,Rhynchotus rufescens pallescens,,,
93,subspecies,Tinamiformes,Tinamidae,Tinamous,Rhynchotus rufescens rufescens,,,
94,genus,Tinamiformes,Tinamidae,Tinamous,Nothoprocta,,,
95,species,Tinamiformes,Tinamidae,Tinamous,Nothoprocta taczanowskii,Taczanowski's Tinamou,Taczanowski's Tinamou,VU
96,species,Tinamiformes,Tinamidae,Tinamous,Nothoprocta ornata,Ornate Tinamou,Ornate Tinamou,LC
97,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothoprocta ornata branickii,,,
98,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothoprocta ornata ornata,,,
99,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothoprocta ornata rostrata,,,
100,species,Tinamiformes,Tinamidae,Tinamous,Nothoprocta perdicaria,Chilean Tinamou,Chilean Tinamou,LC
101,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothoprocta perdicaria perdicaria,,,
102,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothoprocta perdicaria sanborni,,,
103,species,Tinamiformes,Tinamidae,Tinamous,Nothoprocta cinerascens,Brushland Tinamou,Brushland Tinamou,LC
104,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothoprocta cinerascens cinerascens,,,
105,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothoprocta cinerascens parvimaculata,,,
106,species,Tinamiformes,Tinamidae,Tinamous,Nothoprocta pentlandii,Andean Tinamou,Andean Tinamou,LC
107,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothoprocta pentlandii ambigua,,,
108,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothoprocta pentlandii niethammeri,,,
109,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothoprocta pentlandii oustaleti,,,
110,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothoprocta pentlandii fulvescens,,,
111,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothoprocta pentlandii pentlandii,,,
112,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothoprocta pentlandii patriciae,,,
113,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothoprocta pentlandii mendozae,,,
114,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothoprocta pentlandii doeringi,,,
115,species,Tinamiformes,Tinamidae,Tinamous,Nothoprocta curvirostris,Curve-billed Tinamou,Curve-billed Tinamou,LC
116,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothoprocta curvirostris curvirostris,,,
117,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothoprocta curvirostris peruviana,,,
118,genus,Tinamiformes,Tinamidae,Tinamous,Nothocercus,,,
119,species,Tinamiformes,Tinamidae,Tinamous,Nothocercus julius,Tawny-breasted Tinamou,Tawny-breasted Tinamou,LC
120,species,Tinamiformes,Tinamidae,Tinamous,Nothocercus bonapartei,Highland Tinamou,Highland Tinamou,LC
121,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothocercus bonapartei frantzii,,,
122,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothocercus bonapartei bonapartei,,,
123,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothocercus bonapartei intercedens,,,
124,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothocercus bonapartei discrepans,,,
125,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothocercus bonapartei plumbeiceps,,,
126,species,Tinamiformes,Tinamidae,Tinamous,Nothocercus nigrocapillus,Hooded Tinamou,Hooded Tinamou,LC
127,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothocercus nigrocapillus cadwaladeri,,,
128,subspecies,Tinamiformes,Tinamidae,Tinamous,Nothocercus nigrocapillus nigrocapillus,,,
129,genus,Tinamiformes,Tinamidae,Tinamous,Tinamus,,,
130,species,Tinamiformes,Tinamidae,Tinamous,Tinamus tao,Grey Tinamou,Gray Tinamou,VU
131,subspecies,Tinamiformes,Tinamidae,Tinamous,Tinamus tao larensis,,,
132,subspecies,Tinamiformes,Tinamidae,Tinamous,Tinamus tao septentrionalis,,,
133,subspecies,Tinamiformes,Tinamidae,Tinamous,Tinamus tao tao,,,
134,subspecies,Tinamiformes,Tinamidae,Tinamous,Tinamus tao kleei,,,
135,species,Tinamiformes,Tinamidae,Tinamous,Tinamus solitarius,Solitary Tinamou,Solitary Tinamou,NT
136,species,Tinamiformes,Tinamidae,Tinamous,Tinamus osgoodi,Black Tinamou,Black Tinamou,VU
137,subspecies,Tinamiformes,Tinamidae,Tinamous,Tinamus osgoodi hershkovitzi,,,
138,subspecies,Tinamiformes,Tinamidae,Tinamous,Tinamus osgoodi osgoodi,,,
139,species,Tinamiformes,Tinamidae,Tinamous,Tinamus major,Great Tinamou,Great Tinamou,LC
140,subspecies,Tinamiformes,Tinamidae,Tinamous,Tinamus major robustus,,,
141,subspecies,Tinamiformes,Tinamidae,Tinamous,Tinamus major percautus,,,
142,subspecies,Tinamiformes,Tinamidae,Tinamous,Tinamus major fuscipennis,,,
143,subspecies,Tinamiformes,Tinamidae,Tinamous,Tinamus major brunneiventris,,,
144,subspecies,Tinamiformes,Tinamidae,Tinamous,Tinamus major castaneiceps,,,
145,subspecies,Tinamiformes,Tinamidae,Tinamous,Tinamus major saturatus,,,
146,subspecies,Tinamiformes,Tinamidae,Tinamous,Tinamus major zuliensis,,,
147,subspecies,Tinamiformes,Tinamidae,Tinamous,Tinamus major latifrons,,,
148,subspecies,Tinamiformes,Tinamidae,Tinamous,Tinamus major major,,,
149,subspecies,Tinamiformes,Tinamidae,Tinamous,Tinamus major serratus,,,
150,subspecies,Tinamiformes,Tinamidae,Tinamous,Tinamus major olivascens,,,
151,subspecies,Tinamiformes,Tinamidae,Tinamous,Tinamus major peruvianus,,,
152,species,Tinamiformes,Tinamidae,Tinamous,Tinamus guttatus,White-throated Tinamou,White-throated Tinamou,NT
153,genus,Tinamiformes,Tinamidae,Tinamous,Crypturellus,,,
154,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus cinereus,Cinereous Tinamou,Cinereous Tinamou,LC
155,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus berlepschi,Berlepsch's Tinamou,Berlepsch's Tinamou,LC
156,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus soui,Little Tinamou,Little Tinamou,LC
157,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus soui meserythrus,,,
158,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus soui modestus,,,
159,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus soui capnodes,,,
160,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus soui poliocephalus,,,
161,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus soui panamensis,,,
162,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus soui mustelinus,,,
163,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus soui soui,,,
164,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus soui andrei,,,
165,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus soui caucae,,,
166,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus soui harterti,,,
167,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus soui caquetae,,,
168,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus soui nigriceps,,,
169,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus soui albigularis,,,
170,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus soui inconspicuus,,,
171,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus ptaritepui,Tepui Tinamou,Tepui Tinamou,LC
172,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus obsoletus,Brown Tinamou,Brown Tinamou,LC
173,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus obsoletus cerviniventris,,,
174,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus obsoletus knoxi,,,
175,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus obsoletus castaneus,,,
176,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus obsoletus ochraceiventris,,,
177,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus obsoletus traylori,,,
178,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus obsoletus punensis,,,
179,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus obsoletus griseiventris,,,
180,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus obsoletus hypochraceus,,,
181,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus obsoletus obsoletus,,,
182,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus undulatus,Undulated Tinamou,Undulated Tinamou,LC
183,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus undulatus manapiare,,,
184,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus undulatus simplex,,,
185,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus undulatus yapura,,,
186,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus undulatus adspersus,,,
187,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus undulatus vermiculatus,,,
188,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus undulatus undulatus,,,
189,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus transfasciatus,Pale-browed Tinamou,Pale-browed Tinamou,NT
190,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus strigulosus,Brazilian Tinamou,Brazilian Tinamou,LC
191,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus duidae,Grey-legged Tinamou,Gray-legged Tinamou,LC
192,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus erythropus,Red-legged Tinamou,Red-legged Tinamou,LC
193,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus erythropus cursitans,,,
194,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus erythropus idoneus,,,
195,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus erythropus columbianus,,,
196,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus erythropus saltuarius,,,
197,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus erythropus spencei,,,
198,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus erythropus margaritae,,,
199,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus erythropus erythropus,,,
200,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus noctivagus,Yellow-legged Tinamou,Yellow-legged Tinamou,NT
201,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus noctivagus zabele,,,
202,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus noctivagus noctivagus,,,
203,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus atrocapillus,Black-capped Tinamou,Black-capped Tinamou,LC
204,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus atrocapillus atrocapillus,,,
205,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus atrocapillus garleppi,,,
206,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus boucardi,Slaty-breasted Tinamou,Slaty-breasted Tinamou,VU
207,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus boucardi boucardi,,,
208,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus boucardi costaricensis,,,
209,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus kerriae,Choco Tinamou,Choco Tinamou,NT
210,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus variegatus,Variegated Tinamou,Variegated Tinamou,LC
211,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus cinnamomeus,Thicket Tinamou,Thicket Tinamou,LC
212,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus cinnamomeus occidentalis,,,
213,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus cinnamomeus mexicanus,,,
214,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus cinnamomeus soconuscensis,,,
215,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus cinnamomeus vicinior,,,
216,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus cinnamomeus sallaei,,,
217,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus cinnamomeus goldmani,,,
218,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus cinnamomeus cinnamomeus,,,
219,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus cinnamomeus delattrii,,,
220,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus cinnamomeus praepes,,,
221,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus brevirostris,Rusty Tinamou,Rusty Tinamou,LC
222,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus bartletti,Bartlett's Tinamou,Bartlett's Tinamou,LC
223,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus parvirostris,Small-billed Tinamou,Small-billed Tinamou,LC
224,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus casiquiare,Barred Tinamou,Barred Tinamou,LC
225,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus tataupa,Tataupa Tinamou,Tataupa Tinamou,LC
226,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus tataupa inops,,,
227,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus tataupa lepidotus,,,
228,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus tataupa peruvianus,,,
229,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus tataupa tataupa,,,
230,order,Anseriformes,,,Anseriformes,,,
231,family,Anseriformes,Anhimidae,Screamers,Anhimidae,,,
232,genus,Anseriformes,Anhimidae,Screamers,Anhima,,,
233,species,Anseriformes,Anhimidae,Screamers,Anhima cornuta,Horned Screamer,Horned Screamer,LC
234,genus,Anseriformes,Anhimidae,Screamers,Chauna,,,
235,species,Anseriformes,Anhimidae,Screamers,Chauna chavaria,Northern Screamer,Northern Screamer,LC
236,species,Anseriformes,Anhimidae,Screamers,Chauna torquata,Southern Screamer,Southern Screamer,LC
237,family,Anseriformes,Anseranatidae,Magpie Goose,Anseranatidae,,,
238,genus,Anseriformes,Anseranatidae,Magpie Goose,Anseranas,,,
239,species,Anseriformes,Anseranatidae,Magpie Goose,Anseranas semipalmata,Magpie Goose,Magpie Goose,LC
240,family,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Anatidae,,,
241,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Thalassornis,,,
242,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Thalassornis leuconotus,White-backed Duck,White-backed Duck,LC
243,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Thalassornis leuconotus leuconotus,,,
244,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Thalassornis leuconotus insularis,,,
245,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Dendrocygna,,,
246,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Dendrocygna guttata,Spotted Whistling Duck,Spotted Whistling-Duck,LC
247,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Dendrocygna eytoni,Plumed Whistling Duck,Plumed Whistling-Duck,LC
248,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Dendrocygna viduata,White-faced Whistling Duck,White-faced Whistling-Duck,LC
249,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Dendrocygna autumnalis,Black-bellied Whistling Duck,Black-bellied Whistling-Duck,LC
250,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Dendrocygna autumnalis fulgens,,,
251,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Dendrocygna autumnalis autumnalis,,,
252,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Dendrocygna arborea,West Indian Whistling Duck,West Indian Whistling-Duck,NT
253,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Dendrocygna bicolor,Fulvous Whistling Duck,Fulvous Whistling-Duck,LC
254,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Dendrocygna arcuata,Wandering Whistling Duck,Wandering Whistling-Duck,LC
255,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Dendrocygna arcuata arcuata,,,
256,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Dendrocygna arcuata pygmaea,,,
257,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Dendrocygna arcuata australis,,,
258,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Dendrocygna javanica,Lesser Whistling Duck,Lesser Whistling-Duck,LC
259,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Biziura,,,
260,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Biziura lobata,Musk Duck,Musk Duck,LC
261,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Biziura lobata lobata,,,
262,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Biziura lobata menziesi,,,
263,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Nettapus,,,
264,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Nettapus pulchellus,Green Pygmy Goose,Green Pygmy-Goose,LC
265,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Nettapus coromandelianus,Cotton Pygmy Goose,Cotton Pygmy-Goose,LC
266,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Nettapus coromandelianus coromandelianus,,,
267,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Nettapus coromandelianus albipennis,,,
268,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Nettapus auritus,African Pygmy Goose,African Pygmy-Goose,LC
269,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Stictonetta,,,
270,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Stictonetta naevosa,Freckled Duck,Freckled Duck,LC
271,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Heteronetta,,,
272,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Heteronetta atricapilla,Black-headed Duck,Black-headed Duck,LC
273,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Nomonyx,,,
274,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Nomonyx dominicus,Masked Duck,Masked Duck,LC
275,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Oxyura,,,
276,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Oxyura leucocephala,White-headed Duck,White-headed Duck,EN
277,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Oxyura australis,Blue-billed Duck,Blue-billed Duck,LC
278,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Oxyura maccoa,Maccoa Duck,Maccoa Duck,EN
279,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Oxyura vittata,Lake Duck,Lake Duck,LC
280,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Oxyura jamaicensis,Ruddy Duck,,NE
281,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Oxyura jamaicensis jamaicensis,,,
282,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Oxyura jamaicensis ferruginea,,,
283,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Oxyura jamaicensis andina,,,
